Title,URL,HackerRank,LeetCode,CodeChef
1. Introduction to Algorithms,https://www.youtube.com/watch?v=0IAPZzGSbME,"https://www.hackerrank.com/challenges/simple-array-sum/problem
https://www.hackerrank.com/challenges/a-very-big-sum/problem
https://www.hackerrank.com/challenges/plus-minus/problem","https://leetcode.com/problems/two-sum/
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
https://leetcode.com/problems/move-zeroes/
https://leetcode.com/problems/contains-duplicate/","https://www.codechef.com/problems/START01
https://www.codechef.com/problems/FLOW001
https://www.codechef.com/problems/FLOW006"
1.1 Priori Analysis and Posteriori Testing,https://www.youtube.com/watch?v=-JTq1BFBwmo,"https://www.hackerrank.com/challenges/30-running-time-and-complexity/problem
https://www.hackerrank.com/challenges/simple-array-sum/problem
https://www.hackerrank.com/challenges/a-very-big-sum/problem","https://leetcode.com/problems/two-sum/
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
https://leetcode.com/problems/contains-duplicate/
https://leetcode.com/problems/valid-anagram/
https://leetcode.com/problems/number-of-good-pairs/","https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/COMPLEXITY
https://www.codechef.com/learn/course/time-complexity"
1.2 Characteristics of Algorithm,https://www.youtube.com/watch?v=FbYzBWdhMb0,"https://www.hackerrank.com/challenges/simple-array-sum/problem
https://www.hackerrank.com/challenges/a-very-big-sum/problem
https://www.hackerrank.com/challenges/plus-minus/problem
https://www.hackerrank.com/challenges/sparse-arrays/problem","https://leetcode.com/problems/two-sum/
https://leetcode.com/problems/contains-duplicate/
https://leetcode.com/problems/valid-anagram/
https://leetcode.com/problems/move-zeroes/
https://leetcode.com/problems/majority-element/","https://www.codechef.com/problems/START01
https://www.codechef.com/problems/FLOW001
https://www.codechef.com/problems/FLOW006
https://www.codechef.com/problems/FLOW004"
1.3 How Write and Analyze Algorithm,https://www.youtube.com/watch?v=xGYsEqe9Vl0,"https://www.hackerrank.com/challenges/simple-array-sum/problem
https://www.hackerrank.com/challenges/a-very-big-sum/problem
https://www.hackerrank.com/challenges/diagonal-difference/problem
https://www.hackerrank.com/challenges/plus-minus/problem
https://www.hackerrank.com/challenges/sparse-arrays/problem","https://leetcode.com/problems/two-sum/
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
https://leetcode.com/problems/contains-duplicate/
https://leetcode.com/problems/valid-anagram/
https://leetcode.com/problems/majority-element/
https://leetcode.com/problems/move-zeroes/
https://leetcode.com/problems/product-of-array-except-self/","https://www.codechef.com/problems/START01
https://www.codechef.com/problems/FLOW001
https://www.codechef.com/problems/FLOW006
https://www.codechef.com/problems/FLOW004
https://www.codechef.com/problems/FLOW007"
1.4 Frequency Count Method,https://www.youtube.com/watch?v=1U3Uwct45IY,"https://www.hackerrank.com/challenges/sparse-arrays/problem
https://www.hackerrank.com/challenges/one-week-preparation-kit-countingsort1/problem
https://www.hackerrank.com/challenges/migratory-birds/problem
https://www.hackerrank.com/challenges/sock-merchant/problem","https://leetcode.com/problems/contains-duplicate/
https://leetcode.com/problems/valid-anagram/
https://leetcode.com/problems/majority-element/
https://leetcode.com/problems/first-unique-character-in-a-string/
https://leetcode.com/problems/ransom-note/
https://leetcode.com/problems/unique-number-of-occurrences/
https://leetcode.com/problems/number-of-good-pairs/
https://leetcode.com/problems/how-many-numbers-are-smaller-than-the-current-number/
https://leetcode.com/problems/top-k-frequent-elements/
https://leetcode.com/problems/sort-characters-by-frequency/
https://leetcode.com/problems/top-k-frequent-words/","https://www.codechef.com/practice/arrays
https://www.codechef.com/practice-old/tags/algorithms"
1.5.1 Time Complexity #1,https://www.youtube.com/watch?v=9TlHvipP5yA,https://www.hackerrank.com/challenges/30-running-time-and-complexity/problem,"https://leetcode.com/problems/two-sum/
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
https://leetcode.com/problems/contains-duplicate/
https://leetcode.com/problems/valid-anagram/
https://leetcode.com/problems/move-zeroes/
https://leetcode.com/problems/number-of-good-pairs/","https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/COMPLEXITY
https://www.codechef.com/learn/course/time-complexity"
1.5.2 Time Complexity Example #2,https://www.youtube.com/watch?v=9SgLBjXqwd4,"https://www.hackerrank.com/challenges/30-running-time-and-complexity/problem
https://www.hackerrank.com/challenges/one-week-preparation-kit-countingsort1/problem
https://www.hackerrank.com/challenges/sparse-arrays/problem","https://leetcode.com/problems/two-sum/
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
https://leetcode.com/problems/contains-duplicate/
https://leetcode.com/problems/valid-anagram/
https://leetcode.com/problems/number-of-good-pairs/
https://leetcode.com/problems/top-k-frequent-elements/","https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/COMPLEXITY
https://www.codechef.com/learn/course/time-complexity"
1.5.3 Time Complexity of While and if #3,https://www.youtube.com/watch?v=p1EnSvS3urU,"https://www.hackerrank.com/challenges/30-running-time-and-complexity/problem
https://www.hackerrank.com/challenges/data-structures-quiz-2/problem","https://leetcode.com/problems/binary-search/
https://leetcode.com/problems/sqrtx/
https://leetcode.com/problems/search-insert-position/
https://leetcode.com/problems/valid-perfect-square/
https://leetcode.com/problems/power-of-two/
https://leetcode.com/problems/power-of-three/","https://www.codechef.com/learn/course/time-complexity
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/COMPLEXITY"
1.6 Classes of functions,https://www.youtube.com/watch?v=w7t4_JUUTeg,"https://www.hackerrank.com/challenges/30-running-time-and-complexity/problem
https://www.hackerrank.com/challenges/one-week-preparation-kit-countingsort1/problem
https://www.hackerrank.com/challenges/sparse-arrays/problem","https://leetcode.com/problems/binary-search/
https://leetcode.com/problems/two-sum/
https://leetcode.com/problems/contains-duplicate/
https://leetcode.com/problems/valid-anagram/
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
https://leetcode.com/problems/top-k-frequent-elements/","https://www.codechef.com/learn/course/time-complexity
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/COMPLEXITY"
1.7 Compare Class of Functions,https://www.youtube.com/watch?v=5v-tKX2uRAk,"https://www.hackerrank.com/challenges/30-running-time-and-complexity/problem
https://www.hackerrank.com/challenges/one-week-preparation-kit-countingsort1/problem
https://www.hackerrank.com/challenges/sparse-arrays/problem","https://leetcode.com/problems/two-sum/
https://leetcode.com/problems/contains-duplicate/
https://leetcode.com/problems/valid-anagram/
https://leetcode.com/problems/number-of-good-pairs/
https://leetcode.com/problems/binary-search/
https://leetcode.com/problems/top-k-frequent-elements/","https://www.codechef.com/learn/course/time-complexity
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/COMPLEXITY"
1.8.1 Asymptotic Notations Big Oh - Omega - Theta #1,https://www.youtube.com/watch?v=A03oI0znAoc,https://www.hackerrank.com/challenges/30-running-time-and-complexity/problem,"https://leetcode.com/problems/binary-search/
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
https://leetcode.com/problems/contains-duplicate/
https://leetcode.com/problems/two-sum/","https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/COMPLEXITY
https://www.codechef.com/learn/course/time-complexity"
1.8.2 Asymptotic Notations - Big Oh - Omega - Theta #2,https://www.youtube.com/watch?v=Nd0XDY-jVHs,https://www.hackerrank.com/challenges/30-running-time-and-complexity/problem,"https://leetcode.com/problems/binary-search/
https://leetcode.com/problems/two-sum/
https://leetcode.com/problems/majority-element/
https://leetcode.com/problems/maximum-subarray/","https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/COMPLEXITY
https://www.codechef.com/learn/course/time-complexity"
1.9 Properties of Asymptotic Notations,https://www.youtube.com/watch?v=NI4OKSvGAgM,https://www.hackerrank.com/challenges/30-running-time-and-complexity/problem,"https://leetcode.com/problems/two-sum/
https://leetcode.com/problems/contains-duplicate/
https://leetcode.com/problems/valid-anagram/
https://leetcode.com/problems/binary-search/
https://leetcode.com/problems/maximum-subarray/","https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/COMPLEXITY
https://www.codechef.com/learn/course/time-complexity"
1.10.1 Comparison of Functions #1,https://www.youtube.com/watch?v=mwN18xfwNhk,"https://www.hackerrank.com/challenges/30-running-time-and-complexity/problem
https://www.hackerrank.com/challenges/countingsort1/problem","https://leetcode.com/problems/two-sum/
https://leetcode.com/problems/contains-duplicate/
https://leetcode.com/problems/binary-search/
https://leetcode.com/problems/sort-an-array/
https://leetcode.com/problems/maximum-subarray/","https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/COMPLEXITY
https://www.codechef.com/learn/course/college-design-analysis-algorithms"
1.10.2 Comparison of Functions #2,https://www.youtube.com/watch?v=WlBBTSL0ZRc,"https://www.hackerrank.com/challenges/30-running-time-and-complexity/problem
https://www.hackerrank.com/challenges/countingsort1/problem
https://www.hackerrank.com/challenges/ctci-merge-sort/problem","https://leetcode.com/problems/binary-search/
https://leetcode.com/problems/two-sum/
https://leetcode.com/problems/contains-duplicate/
https://leetcode.com/problems/sort-an-array/
https://leetcode.com/problems/maximum-subarray/
https://leetcode.com/problems/top-k-frequent-elements/","https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/COMPLEXITY
https://www.codechef.com/learn/course/college-design-analysis-algorithms"
